close,time,ema20,ema50
1106.48,1517078616521,1106.0111462310037,1105.888472875597
1106,1517078618335,1106.008359673253,1105.8990945064925
1106,1517078619491,1106.0062697549397,1105.9087045534932
1105.57,1517078621232,1105.8972023162048,1105.87644697697
1106.47,1517078621641,1106.0404017371536,1105.9329758363062
1105.57,1517078623046,1105.922801302865,1105.898406709039
1105.57,1517078623484,1105.8346009771487,1105.8671298796066
1106.45,1517078625235,1105.9884507328616,1105.922641319644
1105.57,1517078627094,1105.883838049646,1105.8890564320589
1105.57,1517078628018,1105.8053785372344,1105.858670105196
1105.57,1517078629733,1105.7465339029259,1105.831177714225
1105.6,1517078632176,1105.7099004271945,1105.8091607890608
1105.59,1517078633725,1105.6799253203958,1105.7882883329598
1105.59,1517078634535,1105.6574439902968,1105.7694037298209
1105.6,1517078635773,1105.6430829927226,1105.7532700412664
1105.6,1517078635774,1105.632312244542,1105.7386728944791
1105.6,1517078637722,1105.6242341834063,1105.7254659521477
1105.6,1517078640812,1105.6181756375547,1105.713516813848
1105.6,1517078642328,1105.6136317281662,1105.7027056887196
1105.6,1517078643661,1105.6102237961245,1105.6929241945559
1105.61,1517078644784,1105.6101678470934,1105.6850266522172
1105.57,1517078646297,1105.60012588532,1105.6740717329583
1105.56,1517078646408,1105.5900944139898,1105.6632077583909
1105.56,1517078648676,1105.5825708104924,1105.6533784480678
1105.56,1517078650114,1105.5769281078692,1105.6444852625375
1105.56,1517078656458,1105.572696080902,1105.6364390470576
1105.56,1517078657513,1105.5695220606765,1105.629159137814
1105.56,1517078658712,1105.5671415455072,1105.6225725532602
1105.57,1517078659942,1105.5678561591303,1105.617565643426
1105.56,1517078661377,1105.5658921193476,1105.6120832011948
1105.57,1517078662500,1105.5669190895107,1105.6080752772714
1105.6,1517078663524,1105.5751893171332,1105.6073062032456
1105.61,1517078663833,1105.58389198785,1105.6075627553175
1106,1517078665106,1105.6879189908875,1105.6449377310016
1105.62,1517078666442,1105.6709392431655,1105.6425627090016
1105.62,1517078666801,1105.658204432374,1105.6404138795729
1105.61,1517078668031,1105.6461533242805,1105.6375173196136
1106,1517078670180,1105.7346149932105,1105.6720394796505
1108.46,1517078671510,1106.415961244908,1105.9375595292076
1105.64,1517078675710,1106.221970933681,1105.909220526426
1105.64,1517078676836,1106.0764782002607,1105.8835804762903
1105.62,1517078678052,1105.9623586501955,1105.8584775737866
1105.63,1517078678149,1105.8792689876466,1105.8367178048545
1105.64,1517078679499,1105.819451740735,1105.8179827758208
1105.64,1517078681752,1105.7745888055513,1105.8010320352664
1105.58,1517078683099,1105.7259416041634,1105.7799813652412
1105.58,1517078684214,1105.6894562031225,1105.7609355209324
1105.58,1517078685336,1105.6620921523418,1105.743703566558
1105.58,1517078687129,1105.6415691142563,1105.7281127506953
1105.58,1517078687192,1105.6261768356921,1105.7140067744388
1105.59,1517078688308,1105.617132626769,1105.7021966054444
1105.59,1517078690162,1105.6103494700767,1105.6915112144497
1105.59,1517078690172,1105.6052621025576,1105.68184347974
1105.64,1517078691275,1105.6139465769184,1105.6778583864316
1105.64,1517078693733,1105.6204599326888,1105.674252825819
1105.56,1517078694757,1105.6053449495166,1105.6633716043123
1105.56,1517078695910,1105.5940087121376,1105.6535266896158
1105.56,1517078697195,1105.5855065341032,1105.6446193858428
1105.56,1517078697624,1105.5791299005773,1105.636560396715
1105.56,1517078698753,1105.574347425433,1105.6292689303611
1105.56,1517078700287,1105.5707605690745,1105.6226718893743
1105.56,1517078700597,1105.568070426806,1105.6167031380053
1106.14,1517078701823,1105.7110528201044,1105.6665409343857
1105.58,1517078702235,1105.6782896150783,1105.6582989406347
1106.14,1517078703566,1105.7937172113088,1105.7041752320029
1105.58,1517078704799,1105.7402879084816,1105.6923490194313
1106,1517078705011,1105.805215931361,1105.7216491128188
1106,1517078706087,1105.8539119485208,1105.7481587211219
1105.58,1517078707326,1105.7854339613905,1105.7321436048246
1105.58,1517078708002,1105.7340754710428,1105.7176537376986
1105.58,1517078709063,1105.695556603282,1105.7045438579178
1105.58,1517078710428,1105.6666674524615,1105.692682538116
1105.58,1517078715215,1105.6450005893462,1105.6819508678193
1105.58,1517078716239,1105.6287504420097,1105.6722412613603
1105.56,1517078717392,1105.6115628315074,1105.6615516174213
1105.58,1517078718515,1105.6036721236305,1105.6537847967145
1105.56,1517078719538,1105.5927540927228,1105.6448529113131
1105.01,1517078720975,1105.447065569542,1105.5843907292833
1105.57,1517078724124,1105.4777991771564,1105.5830201836372
1105.01,1517078725306,1105.3608493828674,1105.5284468328148
1105.01,1517078726479,1105.2731370371505,1105.4790709439753
1105,1517078727324,1105.204852777863,1105.4334451397872
1105.01,1517078728551,1105.1561395833971,1105.393117031236
1105,1517078728657,1105.117104687548,1105.3556773139753
1105,1517078729679,1105.087828515661,1105.321803284073
1108.37,1517078731009,1105.9083713867458,1105.6121077332089
1105.84,1517078732860,1105.8912785400594,1105.6338117586174
1104.99,1517078736435,1105.6659589050446,1105.5724963530347
1104.99,1517078737665,1105.4969691787835,1105.5170205098884
1105.83,1517078738688,1105.5802268840876,1105.5468280803752
1105.59,1517078740190,1105.5826701630656,1105.5509396917682
1105.01,1517078741660,1105.4395026222992,1105.4994216258856
1105.83,1517078742153,1105.5371269667244,1105.5309052805633
1105.83,1517078743595,1105.6103452250431,1105.5593904919383
1105.01,1517078743911,1105.4602589187823,1105.5070675879442
1105.01,1517078745036,1105.3476941890867,1105.4597278176639
1105,1517078746171,1105.260770641815,1105.4159442159817
1104.96,1517078747182,1105.1855779813613,1105.3725209573167
1104.96,1517078748317,1105.129183486021,1105.3332332470961
1104.96,1517078749649,1105.0868876145157,1105.2976872235631
1105,1517078750175,1105.0651657108867,1105.2693360594142
1105,1517078751693,1105.048874283165,1105.2436850061367
1105.82,1517078753225,1105.2416557123738,1105.2985721484094
1104.99,1517078754225,1105.1787417842804,1105.2691843247514
1104.99,1517078764166,1105.1315563382102,1105.2425953414418
1104.96,1517078765187,1105.0886672536576,1105.2156814993996
1104.93,1517078766341,1105.0490004402432,1105.188473737552
1104.93,1517078767873,1105.0192503301823,1105.1638571911185
1104.93,1517078768166,1104.9969377476368,1105.1415850776787
1104.93,1517078769309,1104.9802033107276,1105.1214341178998
1104.93,1517078770842,1104.9676524830456,1105.1032022971474
1104.93,1517078771020,1104.9582393622843,1105.0867068402763
1104.93,1517078774066,1104.9511795217134,1105.0717823792977
1104.98,1517078775351,1104.9583846412852,1105.063041200317
1104.98,1517078775555,1104.963788480964,1105.0551325145725
1104.93,1517078777908,1104.955341360723,1105.0432151322323
1104.9,1517078779086,1104.9415060205424,1105.0295755958293
1104.93,1517078780877,1104.9386295154068,1105.0200922057504
1104.9,1517078783045,1104.928972136555,1105.0086548528218
1104.9,1517078784069,1104.9217291024165,1104.9983067716007
1104.17,1517078785489,1104.7337968268125,1104.9194204124005
1104.9,1517078788865,1104.7753476201094,1104.9175708493149
1104.9,1517078789979,1104.806510715082,1104.9158974350944
1104.9,1517078793238,1104.8298830363115,1104.9143833936569
1104.9,1517078794511,1104.8474122772336,1104.9130135466419
1104.2,1517078797059,1104.6855592079253,1104.8451074945808
1104.2,1517078798593,1104.5641694059439,1104.783668685573
1104.2,1517078801768,1104.4731270544578,1104.728081191709
1104.21,1517078805867,1104.4073452908433,1104.6787401258318
1104.21,1517078807134,1104.3580089681325,1104.634098209086
1104.21,1517078807730,1104.3210067260993,1104.5937079034588
1104.21,1517078809040,1104.2932550445744,1104.5571642936056
1104.21,1517078810574,1104.272441283431,1104.5241010275479
1104.9,1517078814467,1104.4293309625732,1104.5599009296861
1104.93,1517078815720,1104.5544982219299,1104.5951484601921
1104.93,1517078817219,1104.6483736664475,1104.627039083031
1104.21,1517078818256,1104.5387802498356,1104.5873210751233
1104.22,1517078820184,1104.4590851873768,1104.5523381155879
1104.22,1517078821326,1104.3993138905325,1104.5206868664843
1104.22,1517078822416,1104.3544854178995,1104.4920500220574
1104.2,1517078823780,1104.3158640634247,1104.4642357342423
1104.2,1517078824343,1104.2868980475685,1104.4390704262191
1104.23,1517078826280,1104.2726735356764,1104.4191589570553
1104.17,1517078827303,1104.2470051517573,1104.3954295325739
1104.2,1517078828599,1104.235253863818,1104.3768171961383
1103.96,1517078830338,1104.1664403978634,1104.3371203203155
1104.17,1517078830748,1104.1673302983977,1104.321204099333
1104.21,1517078831877,1104.1779977237984,1104.31061323273
1104.21,1517078833615,1104.1859982928488,1104.301031020089
1104.21,1517078834946,1104.1919987196366,1104.2923613991284
1103.96,1517078835970,1104.1339990397273,1104.2607079325446
1104.21,1517078837406,1104.1529992797955,1104.2558786056356
1104.26,1517078837460,1104.1797494598466,1104.2562711193846
1104.26,1517078839216,1104.199812094885,1104.2566262508717
1104.26,1517078840478,1104.2148590711638,1104.2569475603125
1104.26,1517078843036,1104.2261443033728,1104.257238268854
1104.17,1517078844469,1104.2121082275296,1104.2489298622966
1103.97,1517078845085,1104.1515811706472,1104.2223651135064
1103.97,1517078846518,1104.1061858779854,1104.1983303407915
1104.17,1517078847645,1104.1221394084891,1104.195632213097
1104.17,1517078849013,1104.1341045563668,1104.193191049945
1103.97,1517078849342,1104.0930784172751,1104.171934759474
1103.97,1517078854230,1104.0623088129564,1104.1527028776193
1104.17,1517078857577,1104.0892316097174,1104.154350222608
1104.17,1517078858601,1104.109423707288,1104.1558406775976
1103.98,1517078859321,1104.077067780466,1104.1390939463977
1104.17,1517078860446,1104.1003008353496,1104.142037380074
1104.26,1517078861571,1104.1402256265121,1104.1532719153051
1104,1517078862697,1104.1051692198841,1104.138674590038
1104,1517078863153,1104.078876914913,1104.1254674862248
1104,1517078864643,1104.0591576861848,1104.1135182018224
1104,1517078867204,1104.0443682646387,1104.102706944506
1104,1517078868163,1104.0332761984791,1104.0929253307436
1103.96,1517078868534,1104.0149571488594,1104.0802657754348
1104.17,1517078869660,1104.0537178616446,1104.08881189206
1103.96,1517078870790,1104.0302883962336,1104.0765440928162
1104,1517078871606,1104.022716297175,1104.0692541792148
1104,1517078872630,1104.0170372228813,1104.0626585430991
1104,1517078876222,1104.012777917161,1104.056691062804
1104.73,1517078877231,1104.1920834378707,1104.1208157234894
1104.73,1517078882461,1104.326562578403,1104.1788332736332
1104.17,1517078883806,1104.2874219338023,1104.1779920094777
1104.17,1517078885334,1104.2580664503516,1104.177230865718
1104,1517078886455,1104.1935498377638,1104.1603517356496
1104.26,1517078892098,1104.2101623783228,1104.16984204654
1104.26,1517078896387,1104.2226217837422,1104.178428518298
1104.26,1517078897457,1104.2319663378066,1104.1861972308411
1104.26,1517078900122,1104.238974753355,1104.1932260659992
1104.01,1517078901218,1104.1817310650163,1104.1757759644754
